condition,type,side,id,source,max_abs_delta_q,final_delta_q,min_delta_q,max_delta_q,baseline_max_q,pulse_end_delta_q,max_abs_delta_synaptic_input,maximum_argument_over_all_queries,classification,tau_s,gain,theta
DNa03_izquierda,DNb05,R,10065,False,0.0002466283685016446,-0.000237641277915146,-0.0002466283685016446,1.5831780331154732e-12,0.7456052058444457,-6.44203775368446e-06,11.494206741343078,0.9626804177150994,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,5.08413860550008e-05,566.957275390625
DNa03_izquierda,DNb05,L,10118,False,0.00041797503976392925,0.0002500268485439161,-0.00041797503976392925,0.0002500268485439161,0.7196837893644455,-0.00013871599164005932,16.780608484215918,0.9075420377601997,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,6.486901658325508e-05,566.957275390625
DNa03_izquierda,DNg13,L,11074,False,0.0,0.0,0.0,0.0,2.17e-322,0.0,3.8558254177308413,-0.023377477514499118,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019702807068824768,0.00012994579420231195,284.58477783203125
DNa03_izquierda,DNg13,R,512006,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,3.7724420146600437,-0.0034486071894013065,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021836107596755028,0.00013072376711535907,307.74310302734375
DNa03_izquierda,DNg100,L,10045,False,0.0,0.0,0.0,0.0,1.93e-322,0.0,13.723875698568918,-0.07218932999697357,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.018692342564463615,5.64052823774715e-05,663.258544921875
DNa03_izquierda,DNg100,R,10056,False,0.0,0.0,0.0,0.0,2.8e-322,0.0,12.091122006136402,-0.06837473906914215,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.022916041314601898,5.7706444761764594e-05,559.1860961914062
DNa03_izquierda,DNp09,L,10783,False,0.0,0.0,0.0,0.0,0.0,0.0,3.836158573967168,-0.32779483791827846,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.0193028561770916,0.00015913539750662226,188.37411499023438
DNa03_izquierda,DNp09,R,11177,False,0.0,0.0,0.0,0.0,2.77e-322,0.0,1.0122525754713934,-0.18508113941916698,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.022328896448016167,0.00019873336181496843,204.20736694335938
DNa03_izquierda,LAL013,R,14674,False,0.0,0.0,0.0,0.0,0.0,0.0,0.6147423276910331,-0.3936373585142717,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.01963917538523674,0.0005575017035691652,55.06699752807617
DNa03_izquierda,LAL013,L,512258,False,0.0,0.0,0.0,0.0,2.7e-322,0.0,3.2753735046736665,-0.5227151925086826,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021951518952846527,0.0006989319379934785,52.0065803527832
DNa03_derecha,DNa01,L,10442,False,2.9518154241045465e-80,3.217223493417518e-84,-8.433758354584419e-81,2.9518154241045465e-80,2.192793209806263e-65,1.5813296914845785e-81,35.7825288091355,-0.032930377032454494,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.017757754772901535,0.0001069131233975199,322.96826171875
DNa03_derecha,DNa01,R,10760,False,0.0007217539055057384,0.0007137747111840079,-0.00045926116538220346,0.0007217539055057384,0.03290040538306633,0.00011838693477699003,7.543604031712675,0.03573491566150176,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020287340506911278,0.00010904931326627615,324.7102966308594
DNa03_derecha,DNa02,R,10360,False,0.0,0.0,0.0,0.0,2.6e-322,0.0,386.70804570625546,-0.0007174585279829714,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02128838188946247,6.767527340244853e-05,641.8660278320312
DNa03_derecha,DNa02,L,523769,False,1.9658792598643333e-66,2.897817305224548e-70,-1.4836824602749686e-67,1.9658792598643333e-66,4.84598334015514e-52,2.2255236904124528e-67,17.345450371526795,-0.029978774827404492,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02310219220817089,5.593889479398343e-05,547.9972534179688
DNa03_derecha,DNa03,R,10975,True,0.2343288476507867,0.0003140658873494507,0.0003140658873494507,0.2343288476507867,2.57e-322,0.2343288476507867,61.0651619482378,0.33949970584172556,MATERIAL_SOURCE_RESPONSE,0.021164411678910255,0.0002445473228540243,175.61532592773438
DNa03_derecha,DNa03,L,519624,False,0.0,0.0,0.0,0.0,0.0,0.0,20.591885141183866,-0.42480014355097473,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019608700647950172,0.00018521661058130832,184.01197814941406
DNa03_derecha,DNa11,L,10971,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,1.2276170934974289,-0.6030232953429571,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02157508209347725,0.0002458850147672011,170.64178466796875
