type,side,time_ms,n,odor_left,odor_right,uniform,sham,anti_odor,common_vs_sham
LAL170,L,335,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,R,0,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,1,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,20,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,40,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,60,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,100,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,160,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,220,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,320,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL170,R,335,1,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,2.569141358374482e-322,0,0
LAL171,L,0,1,0.33915350826338403,0.33915350826338403,0.33915350826338403,0.33915350826338403,0,0
LAL171,L,1,1,0.3703259460204017,0.3703259460204017,0.3703259460204017,0.3703259460204017,0,0
LAL171,L,20,1,0.52992256977806651,0.52992265578298692,0.52992265360448521,0.52992262125770984,-4.3002460203833692e-08,-8.4771830666241499e-09
LAL171,L,40,1,0.19152723130846644,0.19152726239278969,0.19152726160542516,0.19152724991449352,-1.554216162713562e-08,-3.0638654668901921e-09
LAL171,L,60,1,0.069222717477479156,0.069222728712128687,0.069222728427555766,0.069222724202161384,-5.6173247650614933e-09,-1.1073574557318722e-09
LAL171,L,100,1,0.0090424240978709998,0.0090424255654306118,0.0090424255282574272,0.0090424249763026553,-7.3377980601418979e-10,-1.446518495262783e-10
LAL171,L,160,1,0.00042691283640011507,0.00042691290568684772,0.0004269129039318198,0.00042691287787281383,-3.4643366327762395e-11,-6.8293324554519197e-12
LAL171,L,220,1,2.0155499002319753e-05,2.0155502273499443e-05,2.01555021906408e-05,2.0155500960337475e-05,-1.6355898450529484e-12,-3.2242787541443552e-13
LAL171,L,320,1,1.2430371938142109e-07,1.2430373955555732e-07,1.2430373904454939e-07,1.2430373145697872e-07,-1.0087068114640203e-14,-1.9884895177160712e-15
LAL171,L,335,1,5.7942563984364074e-08,5.7942573388275566e-08,5.79425731500758e-08,5.7942569613228458e-08,-4.7019557459795147e-15,-9.2690863725385859e-16
LAL171,R,0,1,0.089019631778560981,0.089019631778560981,0.089019631778560981,0.089019631778560981,0,0
LAL171,R,1,1,0.11581457448065868,0.11581457448065868,0.11581457448065868,0.11581457448065868,0,0
LAL171,R,20,1,0.30258758602897623,0.30258758971049177,0.30258759110691708,0.30258758463402186,-1.8407577684342868e-09,3.2357121426684898e-09
LAL171,R,40,1,0.10227095699695227,0.10227095824125979,0.10227095871323504,0.1022709565254742,-6.2215375906671255e-10,1.0936318239895826e-09
LAL171,R,60,1,0.03456635079560353,0.034566351216164352,0.03456635137568629,0.034566350636249625,-2.102804111392409e-10,3.6963431621073184e-10
LAL171,R,100,1,0.0039487165451999023,0.003948716593243042,0.0039487166114661638,0.0039487165269959847,-2.4021569889481897e-11,4.222548699583939e-11
LAL171,R,160,1,0.00015246129313916729,0.00015246129499412876,0.00015246129569772973,0.00015246129243630757,-9.2748073490019761e-13,1.6303404752528866e-12
