grupo,ids,n,baseline_sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms,R_sham_entrada_L,R_sham_entrada_R
IN04B074|L,804880;806174;809152;809410;810097;909475,6,16.284954401205503,0.1657751553707933,0.8906682024340326,0.819501617503649,-0.36244652353161966,0.5282216789024128,0.07116658493038373,-0.6537264621328556,-0.23694174030117707,20,0.8906682024340327,0.0
CB1958|L,134386;520222,2,-30.15757933042023,-0.09724449776127289,0.4774586483666676,0.4364276533107775,-0.28735157306397024,0.19010707530269777,0.041030995055890154,-0.5336721510720502,0.05621350270538276,232,0.4774586483666674,0.0
VES200m|R,12002;16531;520197;521972;522824;524992,6,110.26545199550857,-0.8518924221965126,-0.2811185267460923,0.002265223682288597,-0.2853869477252102,-0.5665054744713027,-0.2833837504283809,-0.8541576458788013,1.1352761726248937,26,0.0,0.28111852674609245
IN12B014|L,802999,1,571.4688434631817,0.31949114943153223,0.8717697857108243,0.5740076316622221,-0.27613931813964604,0.5956304675711773,0.2977621540486022,-0.2545164822306899,-0.6172533034801344,26,0.0,-0.8717697857108215
DNa01|L,10442,1,2.8775476645450424,-0.43531410717124586,0.09703489263811227,-0.21527423326739187,-0.26617449990467906,-0.16913960726656677,0.31230912590550414,-0.22003987390385393,0.12300498126574168,203,0.09703489263811227,0.0
DNae010|R,11770,1,-51.606596781908536,-4.011114963740452,-3.490636979840681,-4.446057738494887,-0.26023899194988576,-3.750875971790565,0.9554207586542068,0.434942774754435,3.0556942050862457,138,0.0,3.490636979840681
PVLP201m_b|L,512594,1,28.807650710947875,-0.5914380960650424,-0.08682689758906319,-0.6433899074980459,-0.2523055992379896,-0.33913249682705277,0.5565630099089828,0.05195181143300347,0.03487508615605971,16,-0.08682689758906262,0.0
PS029|R,20777,1,-15.093457298083,0.5392157499253567,1.0259914097512846,1.3918137749137351,-0.24338782991296387,0.7826035798383205,-0.3658223651624507,-0.8525980249883787,-0.17339338476290603,152,0.0,-1.0259914097512846
WED124|L,23587,1,-25.994237376260795,-1.9873934024088267,-1.5529063284802835,-2.2615126199247957,-0.2172435369642715,-1.7701498654445547,0.7086062914445124,0.2741192175159693,1.2787871109643143,16,0.0,1.552906328480283
PS011|R,12938,1,-1.8047327463160194,0.8338064136628565,1.257894255399924,1.7957018417319617,-0.21204392086853388,1.0458503345313903,-0.5378075863320372,-0.9618954280691049,-0.2959988273308193,191,0.0,-1.2578942553999244
CB2066|L,48545;54534;73255;94736,4,-83.69458389295534,2.5869350827721265,3.0109340568385394,4.574073259058264,-0.21199948703320637,2.7989345698053327,-1.5631392022197252,-1.987138176286138,-1.0237958805524012,26,3.010934056838539,0.0
IN12A054|L,808635;911423,2,17.93237488494056,0.924989665050587,1.334189871918555,1.4994914043405576,-0.204600103433984,1.129589768484571,-0.1653015324220027,-0.5745017392899708,-0.7596881326285841,24,1.3341898719185548,0.0
LAL037|L,90224;125794,2,15.045489660084488,-0.38613378468168796,-0.01602698338665998,-0.3993948309823518,-0.185053400647514,-0.201080384034174,0.38336784759569165,0.013261046300663744,0.002765937085996225,25,-0.01602698338665984,0.0
DNp57|R,803433,1,68.03536260073808,0.7736489059494365,1.1219711059072786,1.1181578163816133,-0.17416109997892118,0.9478100059283571,0.0038132895256653954,-0.34450891043217696,-0.7774621954751015,26,1.1219711059072788,0.0
SAD005|R,26675;72698;512451,3,-759.5455057806213,0.34725913182605933,0.6935953741355525,0.2767199476766132,-0.17316812115474656,0.52042725298081,0.4168754264589393,0.07053918414944618,-0.7641345582849987,245,0.0,-0.693595374135556
CB4102|L,72379;119838,2,-3.068021635773516,0.019143046452073546,0.34149579885727704,0.34191572088468997,-0.16117637620260175,0.18031942265467527,-0.0004199220274129227,-0.32277267443261654,-0.018723124424660637,26,0.0,-0.3414957988572769
ICL013m_b|L,518363,1,-162.001876707192,1.1548725203769072,1.4724593287243593,2.070581855958038,-0.15879340417372606,1.3136659245506341,-0.5981225272336788,-0.9157093355811309,-0.5567499931432284,78,1.4724593287243577,0.0
CB4102|R,27055;78011,2,4.84105866760064,0.234730353552055,0.5426073237384272,0.20616948907814642,-0.15393848509318614,0.38866883864524104,0.3364378346602808,0.028560864473908588,-0.5711681882123361,17,0.5426073237384272,0.0
M_spPN5t10|R,11449,1,-0.025924724335458057,-0.36703003999438394,-0.08879837140092633,-0.8015436215940576,-0.13911583429672883,-0.22791420569765516,0.7127452501931311,0.43451358159967346,-0.34571521019874707,12,0.0,0.08879837140092635
PS026|R,31892;65695,2,-78.75173530868315,-0.6419263878144249,-0.37297245729844275,-0.4359288497883973,-0.1344769652579911,-0.5074494225564344,0.06295639248995455,-0.20599753802602766,0.5789699953244704,16,0.0,0.37297245729844314
PLP019|L,521059,1,-9.209981966024186,0.04402461479886329,0.31230253724992035,0.29285167340232426,-0.13413896122552857,0.1781635760243919,0.019450863847596096,-0.24882705860346102,-0.0634754786464594,25,0.3123025372499204,0.0
PVLP048|R,25255;26585;26741;29939,4,-12.727449706915984,0.8909906940031974,1.1541475743174519,1.090503128727417,-0.13157844015712733,1.0225691341603247,0.06364444559003497,-0.19951243472421973,-0.9546351395932322,16,3.215123067584234,2.0609754932667816
DNa04|R,10924,1,-4.273042784323833,0.1256072819103165,0.3881944230834399,0.45926693962291143,-0.13129357058656171,0.2569008524968782,-0.0710725165394715,-0.33365965771259487,-0.054534765370844986,16,0.0,-0.3881944230834399
IN16B045|R,803344;804884;804915;805248;904785;933309,6,0.08286786245805934,0.020436774066782473,0.28281788041617695,0.31640283847553957,-0.1311905531746973,0.15162732724147976,-0.033584958059362575,-0.29596606440875717,0.013148183992580092,288,0.0,-0.282817880416177
GNG577|L,22837,1,4.564929891166429,-0.3961953083838992,-0.13437601351711886,-0.23756767797068912,-0.1309096474333902,-0.26528566095050904,0.10319166445357032,-0.15862763041321007,0.2930036439303289,16,0.0,0.1343760135171188
IN17A037|L,199504,1,47.177543820258556,0.02639544268493322,0.2878092120275955,0.2929402024574668,-0.13070688467133112,0.15710232735626442,-0.005130990429871345,-0.2665447597725336,-0.021264452255061874,18,0.2878092120275954,0.0
CB3127|L,530855,1,-11.844563918303118,-0.16741709529085239,0.08886869714266497,-0.048914903873247643,-0.12814289621675867,-0.03927419907409363,0.1377836010159126,-0.11850219141760472,0.029633494274939776,16,-0.05332121651993653,-0.1421899136626014
IN03A084|L,805830;812036,2,4.6887543471765705,0.06832819085655947,0.30764277208006996,0.2258421195581779,-0.11965729061175523,0.18798548146831473,0.08180065252189209,-0.1575139287016184,-0.15012884337845156,23,0.3076427720800699,0.0
DNa05|L,12801,1,4.777248532711853,0.11305991533926127,0.34135333440985716,0.35135543449871737,-0.11414670953529796,0.22720662487455928,-0.010002100088860157,-0.23829551915945607,-0.10305781525040111,169,0.3413533344098572,0.0
PS337|R,36323,1,-10.435827808263895,-0.18328121603118216,0.044305855682091916,-0.12682517937009788,-0.11379353585663703,-0.06948768017454518,0.17113103505218982,-0.05645603666108426,0.012150180978992339,16,0.04430585568209178,0.0
DNp57|L,11961,1,-89.67461278421978,0.19423599809724765,0.40349062123333285,0.43011400097567665,-0.10462731156804261,0.29886330966529007,-0.026623379742343755,-0.235878002878429,-0.16761261835490388,16,0.0,-0.4034906212333337
AOTU027|R,13441,1,-68.89659902457608,3.286109597038553,3.484055915387613,3.3895901064210627,-0.09897315917453003,3.385082756213083,0.09446580896655019,-0.1034805093825099,-3.380575406005104,16,0.0,-3.484055915387613
VES200m|L,19502;20938;24731;515561;516652,5,-59.6381340086699,-0.6237214015252169,-0.4275483927073348,-0.7424127544997289,-0.09808650440894112,-0.5256348971162754,0.3148643617923942,0.11869135297451197,0.30885703973282286,16,-0.4275483927073352,0.0
CB0671|R,11211,1,-1.4391018653664431,0.11557193499385313,0.3113594153644771,0.29111276279268716,-0.09789374018531201,0.21346567517916512,0.02024665257178994,-0.17554082779883406,-0.13581858756564305,16,0.3113594153644771,0.0
SAD006|L,25471;52417;556304,3,24.527933136736934,2.5214332316647323,2.7171765994433477,4.149923846646135,-0.09787168388930777,2.6193049155540407,-1.4327472472027871,-1.6284906149814027,-1.0886859844619456,274,2.717176599443348,0.0
unknown|R,17284;23167;25254;31696;32951;33251;41250;46029;47977;48019;66819;70088;134832;136752;149284;152095;155303;156513;160349;195691,20,229.47843067513327,-2.121472404649017,-1.9276960734207125,-2.2108856999089985,-0.09688816561415266,-2.0245842390348656,0.2831896264882872,0.08941329525998189,1.83828277816073,21,-1.7523011545655625,0.17539491885515254
IN04B081|L,806255;809108;809765;810046,4,2.6887420553330266,-0.024264229608658133,0.15018499669516103,0.08355740598361258,-0.08722461315190957,0.06296038354325144,0.06662759071154845,-0.10782163559227075,-0.042363361102890296,61,0.150184996695161,0.0
CB4101|L,520235,1,-2.408600425245124,0.05862101217115819,0.2324583076732006,0.23737819706641783,-0.08691864775102119,0.14553965992217946,-0.004919889393217253,-0.17875718489525966,-0.053701122777940945,25,0.0,-0.23245830767320066
unknown|L,15141;15597;17556;23342;25236;28195;35044;52953;97113;99866;111531;129990;149770;155446;160420;177757;512493,17,-127.64640832321085,1.79753192192566,1.9643797311613795,2.5008275009130023,-0.08342390461785967,1.88095582654352,-0.5364477697516233,-0.7032955789873427,-1.2610841521740368,52,0.9241816047520848,-1.0401981264092963
GNG515|L,15602,1,1029.8981045163353,0.11610469450354893,0.28250883643134267,0.32725079303913046,-0.08320207096389687,0.19930676546743978,-0.0447419566077878,-0.21114609853558153,-0.07136273789576113,16,0.0,-0.2825088364313523
PVLP201m_a|L,13762,1,13.822586459311394,-0.20045601934214527,-0.03721147170703038,-0.2149813917694899,-0.08162227381755746,-0.11883374552458777,0.17776992006245954,0.014525372427344651,0.02268609927968573,101,-0.03721147170703026,0.0
DNae002|L,11002,1,27.507494622613972,0.16268941543068127,0.32469054909183337,0.3627791375933716,-0.08100056683057605,0.24368998226125713,-0.03808858850153818,-0.20008972216269028,-0.1246008269291431,79,0.3246905490918332,0.0
IB023|L,521406,1,-13.108062349717615,-0.06484124255422746,0.09576347520111358,0.049001901476939315,-0.08030235887767054,0.015461116323443188,0.046761573724174284,-0.11384314403116677,0.01807966883005319,57,0.0,-0.09576347520111367
CB2514|L,125402,1,1.1331347708628041,-0.03885120586143856,0.11558999605054306,0.042131989724926995,-0.0772206009559908,0.03836939509455223,0.07345800632561604,-0.08098319558636555,-0.03460680046417748,179,0.11558999605054304,0.0
PVLP209m|R,30107;33821;77876;512391,4,-208.14097022941596,0.14162847244098647,0.27774818331786305,0.4670409047639838,-0.06805985543843829,0.2096883278794243,-0.18929272144612072,-0.3254124323229973,0.04766424900513425,16,0.0,-0.27774818331786266
CB3748|L,35103,1,-5.366827086030194,0.06548846959169544,0.19865779971843814,0.21071227236854959,-0.06658466506337135,0.1320731346550668,-0.012054472650111489,-0.14522380277685415,-0.05343399694158396,133,0.19865779971843814,0.0
PVLP022|L,11895,1,-11.534413906196944,-0.02536714586715812,0.10248868972433921,0.06886652980889513,-0.06392791779574866,0.03856077192859053,0.03362215991544407,-0.09423367567605324,-0.008255014048285955,65,0.1024886897243392,0.0
GNG637|L,513460,1,-12.308297342076669,-0.1558836523426976,-0.028695159472633614,-0.17245637598952038,-0.06359424643503199,-0.09228940590766563,0.14376121651688678,0.01657272364682279,0.012122435825810822,50,-0.028695159472633482,0.0
CB1131|L,43038;44630;536053,3,20.10522912056938,-0.0031700212776473832,0.12383884088138283,0.06200849367555866,-0.0635044310795151,0.06033440980186775,0.06183034720582417,-0.06517851495320605,-0.05866032592817678,158,0.1238388408813827,0.0
PS057|R,12825,1,35.402250711531934,-2.2050647883281145,-2.0866624184847624,-1.9633484238118717,-0.059201184921675795,-2.145863603406438,-0.12331399467289084,-0.24171636451624243,2.3283787830010048,26,0.0,2.086662418484763
PS261|R,18601;19215,2,-449.1888892621356,0.20722363609775318,0.3191571844152937,0.45737323158556065,-0.055966774158770285,0.26319041025652423,-0.1382160471702669,-0.25014959548780746,-0.06900758892748629,84,0.0,-0.31915718441529717
SAD007|L,42249;45031;81913;105076,4,7.699013469848116,-0.03813156433379865,0.07103378063524404,-0.0405451687174746,-0.05458267248452133,0.01645110815072263,0.11157894935271863,0.002413604383675945,-0.07344738501892001,260,0.07103378063524392,0.0
AOTU008|R,20447;20582;22315,3,27.378952104550425,-0.035343520627394126,0.07262898250384411,0.08866421527642793,-0.05398625156561912,0.018642730938224928,-0.016035232772583802,-0.12400773590382204,0.051378753399977925,38,0.07262898250384396,0.0
